Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Global,2010,CKD,Chronic kidney disease,Both,All ages,8.33%,7.75%,8.87%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,CKD,Chronic kidney disease,Both,All ages,8.98%,8.23%,9.74%,GBD 2010,Non-Communicable Diseases
Global,2011,CKD,Chronic kidney disease,Both,All ages,8.44%,7.86%,8.99%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,CKD,Chronic kidney disease,Both,All ages,9.11%,8.36%,9.88%,GBD 2011,Non-Communicable Diseases
Global,2012,CKD,Chronic kidney disease,Both,All ages,8.57%,7.98%,9.12%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,CKD,Chronic kidney disease,Both,All ages,9.24%,8.48%,10.02%,GBD 2012,Non-Communicable Diseases
Global,2013,CKD,Chronic kidney disease,Both,All ages,8.70%,8.11%,9.26%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,CKD,Chronic kidney disease,Both,All ages,9.39%,8.62%,10.18%,GBD 2013,Non-Communicable Diseases
Global,2014,CKD,Chronic kidney disease,Both,All ages,8.83%,8.23%,9.40%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,CKD,Chronic kidney disease,Both,All ages,9.54%,8.75%,10.34%,GBD 2014,Non-Communicable Diseases
Global,2015,CKD,Chronic kidney disease,Both,All ages,8.95%,8.34%,9.52%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,CKD,Chronic kidney disease,Both,All ages,9.68%,8.89%,10.50%,GBD 2015,Non-Communicable Diseases
Global,2016,CKD,Chronic kidney disease,Both,All ages,9.06%,8.45%,9.63%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,CKD,Chronic kidney disease,Both,All ages,9.82%,9.02%,10.64%,GBD 2016,Non-Communicable Diseases
Global,2017,CKD,Chronic kidney disease,Both,All ages,9.17%,8.55%,9.74%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,CKD,Chronic kidney disease,Both,All ages,9.97%,9.16%,10.79%,GBD 2017,Non-Communicable Diseases
Global,2018,CKD,Chronic kidney disease,Both,All ages,9.27%,8.65%,9.85%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,CKD,Chronic kidney disease,Both,All ages,10.14%,9.33%,10.98%,GBD 2018,Non-Communicable Diseases
Global,2019,CKD,Chronic kidney disease,Both,All ages,9.37%,8.74%,9.97%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,CKD,Chronic kidney disease,Both,All ages,10.34%,9.54%,11.18%,GBD 2019,Non-Communicable Diseases
Global,1990,DM,Diabetes mellitus,Both,All ages,3.08%,2.83%,3.35%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,DM,Diabetes mellitus,Both,All ages,1.69%,1.53%,1.86%,GBD 1990,Non-Communicable Diseases
Global,1991,DM,Diabetes mellitus,Both,All ages,3.13%,2.88%,3.40%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,DM,Diabetes mellitus,Both,All ages,1.72%,1.56%,1.89%,GBD 1991,Non-Communicable Diseases
Global,1992,DM,Diabetes mellitus,Both,All ages,3.19%,2.94%,3.45%,GBD 1992,Non-Communicable Diseases
Republic of Indonesia,1992,DM,Diabetes mellitus,Both,All ages,1.76%,1.60%,1.93%,GBD 1992,Non-Communicable Diseases
Global,1993,DM,Diabetes mellitus,Both,All ages,3.24%,2.99%,3.50%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,DM,Diabetes mellitus,Both,All ages,1.80%,1.64%,1.98%,GBD 1993,Non-Communicable Diseases
Global,1994,DM,Diabetes mellitus,Both,All ages,3.30%,3.05%,3.56%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,DM,Diabetes mellitus,Both,All ages,1.85%,1.69%,2.03%,GBD 1994,Non-Communicable Diseases
Global,1995,DM,Diabetes mellitus,Both,All ages,3.35%,3.10%,3.60%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,DM,Diabetes mellitus,Both,All ages,1.91%,1.74%,2.08%,GBD 1995,Non-Communicable Diseases
Global,1996,DM,Diabetes mellitus,Both,All ages,3.40%,3.15%,3.66%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,DM,Diabetes mellitus,Both,All ages,2.00%,1.83%,2.18%,GBD 1996,Non-Communicable Diseases
Global,1997,DM,Diabetes mellitus,Both,All ages,3.47%,3.21%,3.73%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,DM,Diabetes mellitus,Both,All ages,2.14%,1.96%,2.34%,GBD 1997,Non-Communicable Diseases
Global,1998,DM,Diabetes mellitus,Both,All ages,3.53%,3.27%,3.80%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,DM,Diabetes mellitus,Both,All ages,2.31%,2.11%,2.53%,GBD 1998,Non-Communicable Diseases
Global,1999,DM,Diabetes mellitus,Both,All ages,3.61%,3.34%,3.88%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,DM,Diabetes mellitus,Both,All ages,2.45%,2.24%,2.69%,GBD 1999,Non-Communicable Diseases
Global,2000,DM,Diabetes mellitus,Both,All ages,3.68%,3.41%,3.95%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,DM,Diabetes mellitus,Both,All ages,2.54%,2.32%,2.79%,GBD 2000,Non-Communicable Diseases
Global,2001,DM,Diabetes mellitus,Both,All ages,3.78%,3.50%,4.05%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,DM,Diabetes mellitus,Both,All ages,2.53%,2.32%,2.77%,GBD 2001,Non-Communicable Diseases
Global,2002,DM,Diabetes mellitus,Both,All ages,3.91%,3.63%,4.19%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,DM,Diabetes mellitus,Both,All ages,2.43%,2.23%,2.65%,GBD 2002,Non-Communicable Diseases
Global,2003,DM,Diabetes mellitus,Both,All ages,4.06%,3.77%,4.35%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,DM,Diabetes mellitus,Both,All ages,2.30%,2.11%,2.50%,GBD 2003,Non-Communicable Diseases
Global,2004,DM,Diabetes mellitus,Both,All ages,4.21%,3.92%,4.50%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,DM,Diabetes mellitus,Both,All ages,2.17%,2.01%,2.36%,GBD 2004,Non-Communicable Diseases
Global,2005,DM,Diabetes mellitus,Both,All ages,4.33%,4.04%,4.63%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,DM,Diabetes mellitus,Both,All ages,2.13%,1.96%,2.30%,GBD 2005,Non-Communicable Diseases
Global,2006,DM,Diabetes mellitus,Both,All ages,4.45%,4.15%,4.74%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,DM,Diabetes mellitus,Both,All ages,2.14%,1.97%,2.31%,GBD 2006,Non-Communicable Diseases
Global,2007,DM,Diabetes mellitus,Both,All ages,4.57%,4.26%,4.87%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,DM,Diabetes mellitus,Both,All ages,2.16%,1.99%,2.33%,GBD 2007,Non-Communicable Diseases
Global,2008,DM,Diabetes mellitus,Both,All ages,4.69%,4.38%,4.99%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,DM,Diabetes mellitus,Both,All ages,2.19%,2.01%,2.36%,GBD 2008,Non-Communicable Diseases
Global,2009,DM,Diabetes mellitus,Both,All ages,4.81%,4.50%,5.12%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,DM,Diabetes mellitus,Both,All ages,2.23%,2.05%,2.40%,GBD 2009,Non-Communicable Diseases
Global,2010,DM,Diabetes mellitus,Both,All ages,4.92%,4.61%,5.23%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,DM,Diabetes mellitus,Both,All ages,2.27%,2.09%,2.45%,GBD 2010,Non-Communicable Diseases
Global,2011,DM,Diabetes mellitus,Both,All ages,5.05%,4.72%,5.37%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,DM,Diabetes mellitus,Both,All ages,2.41%,2.22%,2.60%,GBD 2011,Non-Communicable Diseases
Global,2012,DM,Diabetes mellitus,Both,All ages,5.20%,4.86%,5.54%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,DM,Diabetes mellitus,Both,All ages,2.67%,2.46%,2.89%,GBD 2012,Non-Communicable Diseases
Global,2013,DM,Diabetes mellitus,Both,All ages,5.36%,5.00%,5.71%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,DM,Diabetes mellitus,Both,All ages,3.00%,2.75%,3.25%,GBD 2013,Non-Communicable Diseases
Global,2014,DM,Diabetes mellitus,Both,All ages,5.51%,5.14%,5.88%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,DM,Diabetes mellitus,Both,All ages,3.31%,3.03%,3.61%,GBD 2014,Non-Communicable Diseases
Global,2015,DM,Diabetes mellitus,Both,All ages,5.64%,5.25%,6.02%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,DM,Diabetes mellitus,Both,All ages,3.54%,3.23%,3.88%,GBD 2015,Non-Communicable Diseases
Global,2016,DM,Diabetes mellitus,Both,All ages,5.73%,5.32%,6.14%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,DM,Diabetes mellitus,Both,All ages,3.70%,3.37%,4.06%,GBD 2016,Non-Communicable Diseases
Global,2017,DM,Diabetes mellitus,Both,All ages,5.83%,5.39%,6.28%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,DM,Diabetes mellitus,Both,All ages,3.85%,3.49%,4.24%,GBD 2017,Non-Communicable Diseases
Global,2018,DM,Diabetes mellitus,Both,All ages,5.97%,5.52%,6.46%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,DM,Diabetes mellitus,Both,All ages,3.99%,3.62%,4.40%,GBD 2018,Non-Communicable Diseases
Global,2019,DM,Diabetes mellitus,Both,All ages,6.18%,5.69%,6.69%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,DM,Diabetes mellitus,Both,All ages,4.14%,3.75%,4.56%,GBD 2019,Non-Communicable Diseases
Global,1990,Stroke,Stroke,Both,All ages,1.06%,0.97%,1.15%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,Stroke,Stroke,Both,All ages,1.25%,1.13%,1.37%,GBD 1990,Non-Communicable Diseases
Global,1991,Stroke,Stroke,Both,All ages,1.06%,0.97%,1.14%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,Stroke,Stroke,Both,All ages,1.26%,1.15%,1.39%,GBD 1991,Non-Communicable Diseases
Global,1992,Stroke,Stroke,Both,All ages,1.05%,0.98%,1.13%,GBD 1992,Non-Communicable Diseases
Republic of Indonesia,1992,Stroke,Stroke,Both,All ages,1.28%,1.16%,1.40%,GBD 1992,Non-Communicable Diseases
Global,1993,Stroke,Stroke,Both,All ages,1.05%,0.98%,1.13%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,Stroke,Stroke,Both,All ages,1.29%,1.18%,1.41%,GBD 1993,Non-Communicable Diseases
Global,1994,Stroke,Stroke,Both,All ages,1.05%,0.98%,1.13%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,Stroke,Stroke,Both,All ages,1.31%,1.20%,1.42%,GBD 1994,Non-Communicable Diseases
Global,1995,Stroke,Stroke,Both,All ages,1.06%,0.99%,1.13%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,Stroke,Stroke,Both,All ages,1.32%,1.21%,1.45%,GBD 1995,Non-Communicable Diseases
Global,1996,Stroke,Stroke,Both,All ages,1.06%,0.99%,1.14%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,Stroke,Stroke,Both,All ages,1.35%,1.23%,1.47%,GBD 1996,Non-Communicable Diseases
Global,1997,Stroke,Stroke,Both,All ages,1.07%,1.00%,1.15%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,Stroke,Stroke,Both,All ages,1.37%,1.25%,1.49%,GBD 1997,Non-Communicable Diseases
Global,1998,Stroke,Stroke,Both,All ages,1.08%,1.00%,1.17%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,Stroke,Stroke,Both,All ages,1.39%,1.26%,1.52%,GBD 1998,Non-Communicable Diseases
Global,1999,Stroke,Stroke,Both,All ages,1.09%,1.01%,1.18%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,Stroke,Stroke,Both,All ages,1.41%,1.28%,1.56%,GBD 1999,Non-Communicable Diseases
Global,2000,Stroke,Stroke,Both,All ages,1.10%,1.01%,1.20%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,Stroke,Stroke,Both,All ages,1.43%,1.30%,1.58%,GBD 2000,Non-Communicable Diseases
Global,2001,Stroke,Stroke,Both,All ages,1.11%,1.02%,1.20%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,Stroke,Stroke,Both,All ages,1.46%,1.32%,1.60%,GBD 2001,Non-Communicable Diseases
Global,2002,Stroke,Stroke,Both,All ages,1.11%,1.03%,1.20%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,Stroke,Stroke,Both,All ages,1.48%,1.34%,1.62%,GBD 2002,Non-Communicable Diseases
Global,2003,Stroke,Stroke,Both,All ages,1.11%,1.03%,1.19%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,Stroke,Stroke,Both,All ages,1.50%,1.36%,1.64%,GBD 2003,Non-Communicable Diseases
Global,2004,Stroke,Stroke,Both,All ages,1.12%,1.04%,1.19%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,Stroke,Stroke,Both,All ages,1.52%,1.39%,1.66%,GBD 2004,Non-Communicable Diseases
Global,2005,Stroke,Stroke,Both,All ages,1.12%,1.05%,1.19%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,Stroke,Stroke,Both,All ages,1.54%,1.41%,1.68%,GBD 2005,Non-Communicable Diseases
Global,2006,Stroke,Stroke,Both,All ages,1.13%,1.06%,1.21%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,Stroke,Stroke,Both,All ages,1.57%,1.43%,1.71%,GBD 2006,Non-Communicable Diseases
Global,2007,Stroke,Stroke,Both,All ages,1.14%,1.07%,1.22%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,Stroke,Stroke,Both,All ages,1.59%,1.45%,1.75%,GBD 2007,Non-Communicable Diseases
Global,2008,Stroke,Stroke,Both,All ages,1.16%,1.08%,1.24%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,Stroke,Stroke,Both,All ages,1.62%,1.47%,1.78%,GBD 2008,Non-Communicable Diseases
Global,2009,Stroke,Stroke,Both,All ages,1.17%,1.09%,1.27%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,Stroke,Stroke,Both,All ages,1.65%,1.49%,1.82%,GBD 2009,Non-Communicable Diseases
Global,2010,Stroke,Stroke,Both,All ages,1.19%,1.10%,1.28%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,Stroke,Stroke,Both,All ages,1.67%,1.51%,1.85%,GBD 2010,Non-Communicable Diseases
Global,2011,Stroke,Stroke,Both,All ages,1.20%,1.11%,1.30%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,Stroke,Stroke,Both,All ages,1.70%,1.54%,1.88%,GBD 2011,Non-Communicable Diseases
Global,2012,Stroke,Stroke,Both,All ages,1.22%,1.13%,1.31%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,Stroke,Stroke,Both,All ages,1.73%,1.56%,1.90%,GBD 2012,Non-Communicable Diseases
Global,2013,Stroke,Stroke,Both,All ages,1.23%,1.15%,1.32%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,Stroke,Stroke,Both,All ages,1.76%,1.60%,1.93%,GBD 2013,Non-Communicable Diseases
Global,2014,Stroke,Stroke,Both,All ages,1.25%,1.16%,1.33%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,Stroke,Stroke,Both,All ages,1.79%,1.63%,1.96%,GBD 2014,Non-Communicable Diseases
Global,2015,Stroke,Stroke,Both,All ages,1.26%,1.18%,1.35%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,Stroke,Stroke,Both,All ages,1.82%,1.66%,1.99%,GBD 2015,Non-Communicable Diseases
Global,2016,Stroke,Stroke,Both,All ages,1.29%,1.20%,1.39%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,Stroke,Stroke,Both,All ages,1.85%,1.67%,2.04%,GBD 2016,Non-Communicable Diseases
Global,2017,Stroke,Stroke,Both,All ages,1.32%,1.22%,1.44%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,Stroke,Stroke,Both,All ages,1.89%,1.70%,2.10%,GBD 2017,Non-Communicable Diseases
Global,2018,Stroke,Stroke,Both,All ages,1.35%,1.23%,1.47%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,Stroke,Stroke,Both,All ages,1.93%,1.73%,2.15%,GBD 2018,Non-Communicable Diseases
Global,2019,Stroke,Stroke,Both,All ages,1.36%,1.25%,1.49%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,Stroke,Stroke,Both,All ages,1.97%,1.76%,2.19%,GBD 2019,Non-Communicable Diseases
